aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
cutf3ro.aig_17,8,35,0,626,1000,664,139.918160200119,17,8.5,17,2.38221933603287,965.45,0.96545
cutf3ro.aig_18,8,35,0,626,1000,664,139.918160200119,18,8.68,18,2.52282406806946,970.01,0.97001
cutf3ro.aig_19,8,35,0,626,1000,664,139.918160200119,19,8.59,19,2.66721727371216,966.5,0.9665
cutf3ro.aig_20,8,35,0,626,1000,664,139.918160200119,20,8.44,20,2.83479942321777,961.66,0.96166
cutf3ro.aig_21,8,35,0,626,1000,664,139.918160200119,21,8.59,21,2.99433948755264,967.47,0.96747
cutf3ro.aig_22,8,35,0,626,1000,664,139.918160200119,22,8.95,22,3.14294069290161,976.98,0.97698
cutf3ro.aig_23,8,35,0,626,1000,664,139.918160200119,23,8.87,23,3.36916677236557,974.89,0.97489
cutf3ro.aig_24,8,35,0,626,1000,664,139.918160200119,24,8.87,24,3.40179695129395,976.52,0.97652
cutf3ro.aig_25,8,35,0,626,1000,664,139.918160200119,25,8.73,25,3.42096060991287,973.37,0.97337
cutf3ro.aig_26,8,35,0,626,1000,664,139.918160200119,26,8.88,26,3.71838951349258,975.34,0.97534
cutf3ro.aig_27,8,35,0,626,1000,664,139.918160200119,27,9.01,27,3.76049491882324,978.42,0.97842
cutf3ro.aig_28,8,35,0,626,1000,664,139.918160200119,28,8.76,28,3.82565331697464,974.33,0.97433
cutf3ro.aig_29,8,35,0,626,1000,664,139.918160200119,29,8.96,29,4.05342271327972,976.86,0.97686
cutf3ro.aig_30,8,35,0,626,1000,664,139.918160200119,30,8.94,30,4.25505267858505,979.65,0.97965
cutf3ro.aig_31,8,35,0,626,1000,664,139.918160200119,31,9.08,31,4.28343009471893,984.24,0.98424
cutf3ro.aig_32,8,35,0,626,1000,664,139.918160200119,32,9.15,32,4.34365521192551,981.7,0.9817
cutf3ro.aig_33,8,35,0,626,1000,664,139.918160200119,33,9.2,33,4.61441496372223,984.13,0.98413
cutf3ro.aig_34,8,35,0,626,1000,664,139.918160200119,34,9.33,34,4.83506542444229,989.15,0.98915
cutf3ro.aig_35,8,35,0,626,1000,664,139.918160200119,35,9.13,35,4.93874523162842,982.34,0.98234
cutf3ro.aig_36,8,35,0,626,1000,664,139.918160200119,36,9.35,36,5.09897228956223,987.61,0.98761
cutf3ro.aig_37,8,35,0,626,1000,664,139.918160200119,37,9.2,37,5.19044219255447,986.26,0.98626
cutf3ro.aig_38,8,35,0,626,1000,664,139.918160200119,38,9.23,38,5.38184984922409,985.97,0.98597
cutf3ro.aig_39,8,35,0,626,1000,664,139.918160200119,39,9.46,39,5.45989727735519,989.18,0.98918
