aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
pdtvisns2p8.aig,16,75,1,2514,661,661,1,0,0.218914747238159,661,1,0,0.279566526412964,Init2,false,2,0.272229,1,661,1
bob2.aig,3,34,1,121,199,16,0.080402010050251,0,0.036540508270264,2,0.010050251256281,0,0.12828540802002,Init4,false,0,2.366783,1,199,1
6s276rb342.aig,843,3201,1,25549,29,0,0,0,6.63524127006531,0,0,0,148.373806476593,Init2,false,2,10.302402,9,0,0
pdtvisminmax0.aig,12,29,1,533,173,173,1,0,0.035826206207275,173,1,0,0.128689289093018,Init2,false,2,0.071781,1,173,1
bjrb07amba4andenv.aig,11,36,1,17424,248,13,0.05241935483871,0,7.38820266723633,0,0,0,71.5714118480682,Init2,false,2,3.982666,3,65,0.262096774193548
pdtswvsam4x8p1.aig,9,96,1,6376,191,82,0.429319371727749,0,0.570165634155273,29,0.151832460732984,0,13.6108493804932,Init2,false,4,2.678689,31,81,0.424083769633508
bobunr2p10d40l.aig,40,40,1,8063,1000,1000,1,0,2.02254748344421,1000,1,0,4.1379759311676,Init2,false,2,2.377605,1,1000,1
pdtvismiim3.aig,41,86,1,888,318,254,0.79874213836478,0,0.068585395812988,5,0.015723270440252,0,0.179042100906372,Init2,false,2,0.071638,2,254,0.79874213836478
beemcycschd3b1.aig,377,301,1,3164,1000,802,0.802,0,1.12213921546936,0,0,1,1200.01388764381,Init2,false,16,9.39724,19,1000,1
kenflashp04.aig,63,65,1,1581,950,697,0.733684210526316,0,0.168331623077393,547,0.575789473684211,0,0.279243230819702,Init2,false,16,0.222464,2,697,0.733684210526316
nusmvbrp.aig,11,52,1,464,978,187,0.19120654396728,0,1.72265219688416,0,0,1,1200.01437830925,Init2,false,8,0.92412,17,187,0.19120654396728
vis4arbitp1.aig,12,23,1,314,61,22,0.360655737704918,0,0.11864161491394,1,0.016393442622951,0,5.34418082237244,Init2,false,4,0.120433,9,21,0.344262295081967
pdtvisvsar14.aig,17,130,1,2142,996,996,1,0,0.268210172653198,996,1,0,0.379675626754761,Init2,false,2,0.324113,1,996,1
bjrb07amba6andenv.aig,15,45,1,35272,287,15,0.052264808362369,0,32.908570766449,0,0,0,238.972645044327,Init2,false,16,20.129497,4,80,0.278745644599303
pdtviseisenberg1.aig,3,30,1,2628,669,94,0.14050822122571,0,5.43305540084839,63,0.094170403587444,0,2.63579893112183,Init2,false,2,9.648257,7,247,0.369207772795217
pdtvisminmaxr0.aig,12,28,1,532,516,516,1,0,0.068491458892822,516,1,0,0.129228591918945,Init2,false,2,0.071772,1,516,1
pdtvisns2p1.aig,16,75,1,2518,685,2,0.002919708029197,0,1.57250308990479,0,0,0,2.18437957763672,Init2,false,8,1.524634,11,18,0.026277372262774
bobtuint21neg.aig,213,212,1,2051,878,9,0.010250569476082,0,0.168606996536255,0,0,0,1.03151535987854,Init2,false,2,0.272797,2,257,0.292710706150342
mentorbm1p03.aig,224,4377,1,31685,1000,1000,1,0,4.68114233016968,1000,1,0,8.35054087638855,Init2,false,2,5.54183,1,1000,1
bj08amba5g62.aig,13,39,1,19957,679,183,0.269513991163476,0,1.27172112464905,28,0.041237113402062,0,3.63883256912231,Init2,false,2,2.728635,1,329,0.484536082474227
